,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36191,27,,,2021-09-21,2021-09-21,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36192,27,,,2021-09-22,2021-09-22,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36193,27,,,2021-09-23,2021-09-23,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36194,27,,,2021-09-24,2021-09-24,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36195,27,,,2021-09-25,2021-09-25,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36196,27,,,2021-09-26,2021-09-26,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36197,27,,,2021-09-27,2021-09-27,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36198,2926,,,2021-08-03,2021-08-03,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,29,33
36199,2785,,,2021-07-25,2021-07-25,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,6,33
36200,2106,,,2021-03-13,2021-03-13,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,9,27
36201,2548,,,2021-06-20,2021-06-20,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,33
36202,3303,,,2021-09-25,2021-09-25,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,1,33
36203,3285,,,2021-09-15,2021-09-15,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,1,33
36204,248,,,2020-10-14,2020-10-14,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,7,2
36205,1499,,,2021-02-01,2021-02-01,Europe,JHU CSSE Global Timeseries,1,,MCO,Monaco,MC,10,14
